tag,tag_cn
brown shirt,棕色衬衫
brown shorts,棕色短裤
brown skirt,棕色短裙
brown sweater,棕色毛衣
brown theme,棕色主题
brown vest,棕色马甲
bruce lee's jumpsuit,李小龙款连身衣
bruise,挫伤
brush,刷子
brushing teeth,刷牙
bubble,泡泡
bubble blowing,吹泡泡
bubble skirt,蓬蓬裙
bubble tea,珍珠奶茶
bubble tea challenge,不用手喝珍珠奶茶挑战
buck teeth,龅牙
bucket,水桶
buckle,扣
budget sarashi,绷带裹胸
building,建筑
bukkake,射满脸
bulge,裆部隆起
bullet,子弹
bullpup,牛犊式枪械
bullying,欺负
bun cover,发髻盖
bunching hair,手持辫子
bunny,兔子
bunny costume,兔子服装
bunny ears,兔耳
bunny girl,兔娘|兔女郎
bunny hair ornament,兔子饰品
bunny hood,兔耳帽
bunny pose,兔耳pose
bunny print,兔子图案
bunny tail,兔尾巴
burn scar,烧伤疤痕
burning,燃烧
burnt clothes,烧焦的衣服
bursting breasts,包不住的巨乳
buruma,女式灯笼裤
buruma aside,内裤掰到一边
buruma pull,褪下一部分的内裤
bus,公共汽车
bus stop,公交站
bush,灌木
business suit,西装
bustier,紧身胸衣
butler,管家
butt crack,股沟
butt plug,肛塞
butterfly,蝴蝶
butterfly hair ornament,蝴蝶发饰
butterfly net,捕虫网
butterfly print,蝴蝶印花
butterfly sitting,蝴蝶坐
butterfly wings,蝴蝶翅膀
buttjob,臀交
button badge,纽扣徽章
button eyes,纽扣式画法的眼睛
button gap,天使的小窗
buttons,纽扣
c:,c:
cabbie hat,报童帽
cabinet,储藏柜
cable,线缆
cactus,仙人掌
cafe,咖啡馆
cage,笼子
cake,蛋糕
cake slice,蛋糕块
calendar (medium),日历
calendar (object),图中有日历
calligraphy brush,毛笔
calligraphy brush (medium),毛笔(中号)
camcorder,摄像机
camellia,山茶花
cameltoe,骆驼趾
cameo,精彩片段
camera,照相机
camisole,无袖紧身背心
camouflage,迷彩
can,缶
can't be this cute,俺妹元素
candle,蜡烛
candlestand,烛台
candy,糖果
candy apple,苹果糖
candy cane,棒棒糖
cane,杖
cannon,炮
canvas (object),画布
cape,披风
capelet,披肩
capri pants,七分裤
car,汽车
car interior,汽车内饰
card,卡片
card (medium),卡片(中号图)
card parody,玩牌
cardboard box,纸板箱
cardigan,开襟衫
caressing testicles,爱抚睾丸
carpet,地毯
carrot,胡萝卜
carrot hair ornament,胡萝卜发饰
carrot necklace,胡萝卜项链
carrying,抱起
carrying over shoulder,肩扛
carrying under arm,夹在腋下
cart,载货推车
cartridge,弹夹
casing ejection,子弹抛壳
cast,包扎着绷带
castle,城堡
casual,私服
casual one-piece swimsuit,连体泳衣
cat,猫
cat boy,猫系男子
cat costume,猫系服装
cat cutout,胸部开口出猫头剪影的服装
cat day,猫之日
cat ear headphones,猫耳式耳机
cat ear panties,猫耳造型内裤
cat ears,猫耳
cat girl,猫娘
cat hair ornament,猫系发饰
cat hat,猫耳帽子
cat hood,猫耳兜帽
cat lingerie,猫系内衣
cat on head,头上趴着猫
cat paws,猫爪
cat print,猫元素印花
cat tail,猫尾巴
cat teaser,逗猫
catchphrase,标志性台词
caterpillar tracks,履带
caught,被抓现行
caustics,焦散
caution tape,警示带
cave,洞穴
cd,光碟
ceiling,天花板
ceiling light,顶灯
cellphone,手机
cellphone picture,手机相片
censored,打码的
centaur,人马|马娘
center frills,胸口带花边的服装
center opening,正中间开口的服装
cervix,子宫口
chain,锁链
chain-link fence,铁网
chain necklace,项链
chainsaw,链锯
chair,椅子
chaldea uniform,迦勒底制服
chalk,粉笔
chalkboard,黑板
champagne,香槟
champagne flute,香槟杯
chandelier,吊灯
chaps,皮套裤
character censor,用人脸打码
character doll,角色公仔
character name,含角色名
character print,印着某角色
character profile,角色简介
character sheet,人设表
character signature,含该角色的签名
charm (object),强调角色魅力的
chart,图表
chasing,追逐
chat log,聊天框风格
cheating,出轨
checkerboard cookie,棋盘曲奇
checkered,方格图案
checkered background,方格背景
checkered floor,格子地板
checkered kimono,格子和服
checkered neckwear,格子领口
checkered scarf,格子围巾
checkered shirt,格子衬衫
checkered skirt,格子裙
cheek-to-cheek,脸贴脸
cheek bulge,鼓着腮帮
cheek pinching,捏脸颊
cheek poking,戳脸颊
cheek pull,扯脸颊
cheering,助威
cheerleader,啦啦队
cheese,奶酪
chef,厨师
chef hat,厨师帽
chef uniform,厨师工装
chemise,女式无袖宽内衣
cherry,樱花|樱桃
cherry blossom print,樱花印花
cherry blossoms,樱花
chess piece,棋子
chest,胸部
chest hair,胸毛
chest jewel,胸前有宝石
chest of drawers,抽屉
chest tattoo,胸部有纹身
chestnut mouth,栗子嘴
chewing gum,口香糖
chi-hatan military uniform,知波单学院制服
chibi,迷你角色
chibi inset,内含Q版形象
chick,小鸡
chicken,鸡
child,小孩
child drawing,儿童画作
child on child,孩子们
chimney,烟囱
chin grab,抬下巴
chin rest,托着下巴
chin strap,颐革
chin stroking,摸下巴
china dress,中国服饰
chinese clothes,中国风
chinese text,中文
chinese zodiac,十二生肖
chips,薯片
chocolate,巧克力
chocolate bar,巧克力板
chocolate heart,心形巧克力
chocolate on breasts,胸上的巧克力
choker,项圈
choko (cup),猪口杯
chopsticks,筷子
christmas,圣诞节
christmas lights,圣诞彩灯
christmas tree,圣诞树
chromatic aberration,色差
church,教堂
cigar,雪茄
cigarette,香烟
circle,圆圈
circle cut,单行本概念预告图
circle name,封绘署名
circlet,头冠
city,城市
city lights,城市灯光背景
cityscape,城市背景
classroom,教室
claw (weapon),爪(武器)
claw pose,嘎哦
claws,爪
cleaning,打扫
cleavage,乳沟
cleavage cutout,露出的乳沟
cleave gag,被封住嘴
cleaver,砍肉刀
cleft of venus,蜜缝
clenched hand,握紧的手
clenched hands,紧握的双手
clenched teeth,牙齿紧咬
cliff,悬崖
climbing,攀爬
clipboard,写字板
clitoral hood,阴蒂包皮
clitoral stimulation,玩弄阴蒂
clitoris,阴核
clitoris piercing,阴核环
cloak,斗篷
clock,时钟
clock tower,钟楼
clone,克隆
close-up,特写镜头
closed eyes,闭上的眼睛
closed fan,折扇
closed mouth,闭着的嘴
closed umbrella,收着的伞
cloth,布
clothed animal,有衣着的动物
clothed female nude female,穿着衣服的女性和裸女
clothed female nude male,穿着衣服的女性和裸男
clothed male nude female,穿着衣服的男性和裸女
clothed masturbation,穿着衣服自慰
clothed pokemon,有衣着的口袋妖怪
clothed sex,着衣性交
clothes,衣服
clothes around waist,衣服系在腰上
clothes between breasts,衣服勒在乳沟里
clothes between thighs,衣物挂到大腿之间
clothes down,褪下衣物
clothes grab,扯着衣物
clothes hanger,衣架
clothes lift,掀起衣物
clothes pull,拉开衣物
clothes removed,脱下的衣服
clothes theft,偷衣服
clothes tug,拖拽衣服
clothes writing,印着字的T恤
clothesline,晒衣服
cloud,云
cloud hair,云絮状发型
cloud print,云状印花
cloudy sky,多云天气
clover,三叶草
clover hair ornament,三叶草发饰
club,棍棒
club (shape),梅花(扑克)
coat,外套
coattails,燕尾
coca-cola,可口可乐
cockpit,外套
cocktail,鸡尾酒
cocktail dress,(社交场合穿的)短裙
cocktail glass,鸡尾酒杯
coffee,咖啡
coffee cup,咖啡杯
coffee mug,马克杯
coffin,棺材
coin,硬币
coke-bottle glasses,厚如玻璃瓶底的圆眼镜
cold,寒冷的
collage,拼贴画
collar,项圈
collarbone,锁骨
collared blouse,翻领短衫
collared dress,有领连衣裙
collared jacket,翻领夹克
collared shirt,翻领衬衫
color connection,色彩关联
color guide,色标卡
color trace,原画
colored eyelashes,彩色的睫毛
colored inner hair,内层挑染
colored pencil (medium),彩色铅笔画
colored pubic hair,阴毛颜色
colored stripes,多彩条纹
colorful,五彩斑斓的
column,柱子
column lineup,立绘并列
comb,梳子
combat boots,军用靴
come hither,诱受
comforting,安慰
comic,漫画
command spell,令咒
company connection,联动
company name,有版权署名
comparison,对比图
competition school swimsuit,竞泳死库水
competition swimsuit,赛用泳衣
computer,计算机
concept art,概念艺术
condensation trail,飞机云
condom,避孕套
condom in mouth,口叼避孕套
condom on penis,戴避孕套
condom packet strip,避孕套包装
condom wrapper,避孕套包装
confession,表白
confetti,彩色纸屑(祝贺)
consensual tentacles,非强行的触手侵犯
constellation,星座
constricted pupils,收缩的瞳孔
contemporary,现代改编
contrapposto,对立式平衡
controller,控制器
convenience store,便利店
convenient arm,遮住关键部位的手臂
convenient censoring,简单巧妙的打码
convenient leg,挡住关键部位的腿
